,feature_importance,feature_names
463,0.18282191759903896,team1_other_raw_var_0
200,0.18277674082165335,player_offensive_raw_var_186
747,0.18260135416842463,team2_other_ratio_var_22
519,0.1821531685704739,team1_other_raw_var_56
618,0.1820869353162051,team1_defensive_derived_var_8
631,0.18081789233345677,team2_other_raw_var_0
582,0.18034960010701664,team1_other_ratio_var_25
351,0.1798157735620471,player_other_derived_var_51
536,0.1795985856900533,team1_other_raw_var_73
613,0.1791172430671192,team1_defensive_derived_var_3
436,0.177391488183172,player_positional_derived_var_136
363,0.1772731278190942,player_offensive_derived_var_63
588,0.17723356104316992,team1_other_ratio_var_31
763,0.17609520153833075,team2_other_ratio_var_38
580,0.17574232056274353,team1_other_ratio_var_23
308,0.17471941427554014,player_defensive_derived_var_8
445,0.17435045309202493,player_other_derived_var_145
320,0.17431455397517656,player_other_derived_var_20
789,0.1736544464220669,team2_offensive_derived_var_11
746,0.17258434854333804,team2_other_ratio_var_21
534,0.17257279087572513,team1_defensive_raw_var_71
455,0.17223035018158558,player_offensive_derived_var_155
326,0.1716683688519553,player_offensive_derived_var_26
517,0.17095689493857485,team1_other_raw_var_54
518,0.1706242973601271,team1_other_raw_var_55
745,0.16994825799150287,team2_other_ratio_var_20
317,0.16963658555893818,player_offensive_derived_var_17
87,0.16931057060689578,player_offensive_raw_var_73
80,0.16917805249841486,player_defensive_raw_var_66
491,0.16893995671057144,team1_other_raw_var_28
393,0.16863919210925457,player_defensive_derived_var_93
390,0.1679487706586829,player_offensive_derived_var_90
760,0.16736311487208222,team2_other_ratio_var_35
727,0.16581342013646763,team2_defensive_ratio_var_2
337,0.16570392917542415,player_defensive_derived_var_37
81,0.16551059679348537,player_defensive_raw_var_67
595,0.16430346458197656,team1_other_ratio_var_38
481,0.16282427280511255,team1_offensive_raw_var_18
451,0.16058090936074593,player_offensive_derived_var_151
327,0.16016395091194421,player_positional_derived_var_27
204,0.15949501127946727,player_physical_raw_var_190
263,0.15898617363952236,player_offensive_ratio_var_50
604,0.15870049582513462,team1_other_ratio_var_47
360,0.15868528588144623,player_offensive_derived_var_60
248,0.15837681811643756,player_offensive_ratio_var_35
767,0.15823368905817378,team2_other_ratio_var_42
797,0.15733729168614113,team2_offensive_derived_var_19
510,0.15693747269735522,team1_other_raw_var_47
689,0.15604344541466367,team2_other_raw_var_58
156,0.15593715809688388,player_other_raw_var_142
633,0.1558147885485802,team2_other_raw_var_2
784,0.15463522782105207,team2_defensive_derived_var_6
391,0.15281079742387726,player_offensive_derived_var_91
208,0.1513769193060053,player_physical_raw_var_194
622,0.1513443858042349,team1_offensive_derived_var_12
533,0.15099502580555632,team1_other_raw_var_70
307,0.14966935280197072,player_defensive_derived_var_7
117,0.14930674633892874,player_other_raw_var_103
782,0.1489650538146228,team2_offensive_derived_var_4
338,0.14768420745018637,player_offensive_derived_var_38
258,0.14752556972946618,player_offensive_ratio_var_45
448,0.1472188684551334,player_general_derived_var_148
304,0.1445792840772141,player_physical_derived_var_4
350,0.14424278137461702,player_offensive_derived_var_50
628,0.14415585762893787,team1_offensive_derived_var_18
751,0.14380065735091319,team2_other_ratio_var_26
610,0.1425694807189814,team1_offensive_derived_var_0
653,0.1419740134643157,team2_other_raw_var_22
527,0.13987010633077251,team1_other_raw_var_64
138,0.13797852738767705,player_other_raw_var_124
319,0.13642199577949735,player_defensive_derived_var_19
615,0.13600029961833168,team1_offensive_derived_var_5
430,0.13539473037581762,player_positional_derived_var_130
753,0.13335581537299654,team2_other_ratio_var_28
593,0.13305131554292332,team1_other_ratio_var_36
362,0.13271283521881647,player_physical_derived_var_62
